Timestamp,class,credits,diet,sleep,dating_pref,sex,study,birthday,haircut,shoes,nervous,siblings,which_tire,height,speed,years_in_wa,snapchat,insta,travel,salary,breakfast,eyewear,rent,climate_worry
3/26/2024 22:01:24,Sophomore,18,No,9,yes,Male,12,Monday,50,5,3,0,right front,72,95,18,70,295,6,6000,Yes,Yes,$436.48,Somewhat
3/26/2024 23:40:22,Freshman,14,No,8,No,Female,15,Saturday,100,8,4,1,right front,61,70,19,0,590,12,800,No,No,1300,A great deal
3/26/2024 23:58:21,Sophomore,13,Yes,6,yes,Female,14,Thursday,100,4,4,1,left front,62,NA,8,0,133,8,500,Yes,Yes,"1,117",A great deal
3/27/2024 10:43:06,Sophomore,13,No,9,yes,Female,20,Tuesday,500,20,5,1,right front,62,95,0,500,1458,1,10000,No,No,1300,Somewhat
3/27/2024 11:33:21,Junior,15,No,7,yes,Male,10,Sunday,55,4,2,3,right front,67,110,3,150,460,2,2000,No,Yes,1590,Somewhat
3/27/2024 12:44:00,Freshman,17,No,6,yes,Male,14,Sunday,28,6,4,3,right front,70,85,18,59,337,8,0,No,Yes,1617,A great deal
3/27/2024 13:31:53,Sophomore,18,No,8,No,Female,25,Thursday,200,9,3,1,right back,63,70,1,35,741,19,0,Yes,No,"$1,340",A great deal
3/27/2024 13:33:01,Sophomore,11,No,5,yes,Female,10,Thursday,120,6,4,5,left back,66.75,84,12,0,0,5,"10,000",No,Yes,850,A great deal
3/27/2024 13:40:08,Sophomore,15,No,6,No,Male,20,Saturday,40,13,1,0,left front,69,123,2,105,140,16,43600,No,Yes,1500,A great deal
3/27/2024 14:00:26,Junior,15,No,6,No,Male,7,Thursday,60,6,2,2,left back,75,140,3,374,540,23,8000,No,Yes,1170,A great deal
3/27/2024 14:02:28,Junior,15,No,7,yes,Female,10,Friday,30,5,3,3,right front,65,NA,21,150,600,6,6000,Yes,No,1089,A great deal
3/27/2024 14:09:21,Sophomore,15,No,7,yes,Female,10,Saturday,200,7,3,3,right back,62,80,19,200,500,12,10000,No,No,1400,Somewhat
3/27/2024 14:51:00,Junior,15,Yes,7,yes,Female,40,Monday,01,8,5,1,right front,60,100,8,30,50,18,4500,No,Yes,0,Not al all
3/27/2024 15:16:10,Junior,15,No,5,yes,Male,15,Tuesday,50,10,2,2,left front,68,80,19,0,600,3,24000,No,No,4000,Somewhat
3/27/2024 15:27:21,Junior,12,No,8,No,Male,10,Monday,40,7,2,2,left back,75,110,15,240,200,4,15000,Yes,No,0,Somewhat
3/27/2024 15:30:53,Senior,17,No,8,yes,Male,15,Saturday,40,10,4,1,right front,69,124,22,50,150,10,48000,Yes,No,850,A great deal
3/27/2024 15:33:29,Sophomore,16,No,8,No,Male,9,Friday,55,6,2,0,left front,72,115,19,0,350,10,1000,No,Yes,1000,A great deal
3/27/2024 15:41:04,Freshman,18,No,7,yes,Male,30,Friday,100,7,3,1,left back,71.65,63,almost 1,40,450,2,0,No,Yes,1300,Somewhat
3/27/2024 15:41:27,Sophomore,15,Yes,9,yes,Female,26,Tuesday,160,15,4,1,left back,63,100,2,400,800,45,$300,Yes,No,1023,A great deal
3/27/2024 15:43:05,Senior,15,No,7,No,Male,8,Monday,120,17,3,1,right front,73.2,100,12,0,300,6,25000,No,Yes,1450,A great deal
3/27/2024 15:45:53,Sophomore,15,No,8,No,Male,4,Saturday,45,3,2,4,left back,71,110,15,200,"1,000",10,"$8,000",No,Yes,"1,400",A great deal
